Module	Section	Sample Name	Source
QualiMap	mapped_gc_distribution	22018LRa001	/mnt/storage1/projects/research/SCA4_2022/pacbio/alignment_T2T/22018LRa001/qualimap_22018LRa001/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	22018LRa002	/mnt/storage1/projects/research/SCA4_2022/pacbio/alignment_T2T/22018LRa002/qualimap_22018LRa002/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	22018LRa004	/mnt/storage1/projects/research/SCA4_2022/pacbio/alignment_T2T/22018LRa004/qualimap_22018LRa004/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	22018LRa003	/mnt/storage1/projects/research/SCA4_2022/pacbio/alignment_T2T/22018LRa003/qualimap_22018LRa003/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	22018LRa007	/mnt/storage1/projects/research/SCA4_2022/pacbio/alignment_T2T/22018LRa007/qualimap_22018LRa007/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	22018LRa008	/mnt/storage1/projects/research/SCA4_2022/pacbio/alignment_T2T/22018LRa008/qualimap_22018LRa008/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	22018LRa005	/mnt/storage1/projects/research/SCA4_2022/pacbio/alignment_T2T/22018LRa005/qualimap_22018LRa005/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	22018LRa006	/mnt/storage1/projects/research/SCA4_2022/pacbio/alignment_T2T/22018LRa006/qualimap_22018LRa006/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QUAST	all_sections	22018LRa004	/mnt/storage1/projects/research/SCA4_2022/pacbio/assembly_hifiasm/22018LRa004/quast/report.tsv
QUAST	all_sections	22018LRa001	/mnt/storage1/projects/research/SCA4_2022/pacbio/assembly_hifiasm/22018LRa001/quast/report.tsv
QUAST	all_sections	22018LRa002	/mnt/storage1/projects/research/SCA4_2022/pacbio/assembly_hifiasm/22018LRa002/quast/report.tsv
QUAST	all_sections	22018LRa003	/mnt/storage1/projects/research/SCA4_2022/pacbio/assembly_hifiasm/22018LRa003/quast/report.tsv
QUAST	all_sections	22018LRa007	/mnt/storage1/projects/research/SCA4_2022/pacbio/assembly_hifiasm/22018LRa007/quast/report.tsv
QUAST	all_sections	22018LRa005	/mnt/storage1/projects/research/SCA4_2022/pacbio/assembly_hifiasm/22018LRa005/quast/report.tsv
QUAST	all_sections	22018LRa008	/mnt/storage1/projects/research/SCA4_2022/pacbio/assembly_hifiasm/22018LRa008/quast/report.tsv
WhatsHap	all_sections	22018LRa003_T2T.phasestats	/mnt/storage1/projects/research/SCA4_2022/pacbio/phasing/22018LRa003_T2T/22018LRa003_T2T.phasestats.tsv
WhatsHap	all_sections	22018LRa004_T2T.phasestats	/mnt/storage1/projects/research/SCA4_2022/pacbio/phasing/22018LRa004_T2T/22018LRa004_T2T.phasestats.tsv
WhatsHap	all_sections	22018LRa001_GRCh38.phasestats	/mnt/storage1/projects/research/SCA4_2022/pacbio/phasing/22018LRa001_GRCh38/22018LRa001_GRCh38.phasestats.tsv
WhatsHap	all_sections	22018LRa003_GRCh38.phasestats	/mnt/storage1/projects/research/SCA4_2022/pacbio/phasing/22018LRa003_GRCh38/22018LRa003_GRCh38.phasestats.tsv
WhatsHap	all_sections	22018LRa001_T2T.phasestats	/mnt/storage1/projects/research/SCA4_2022/pacbio/phasing/22018LRa001_T2T/22018LRa001_T2T.phasestats.tsv
WhatsHap	all_sections	22018LRa002_T2T.phasestats	/mnt/storage1/projects/research/SCA4_2022/pacbio/phasing/22018LRa002_T2T/22018LRa002_T2T.phasestats.tsv
WhatsHap	all_sections	22018LRa004_GRCh38.phasestats	/mnt/storage1/projects/research/SCA4_2022/pacbio/phasing/22018LRa004_GRCh38/22018LRa004_GRCh38.phasestats.tsv
WhatsHap	all_sections	22018LRa002_GRCh38.phasestats	/mnt/storage1/projects/research/SCA4_2022/pacbio/phasing/22018LRa002_GRCh38/22018LRa002_GRCh38.phasestats.tsv
WhatsHap	all_sections	22018LRa008_GRCh38.phasestats	/mnt/storage1/projects/research/SCA4_2022/pacbio/phasing/22018LRa008_GRCh38/22018LRa008_GRCh38.phasestats.tsv
WhatsHap	all_sections	22018LRa007_T2T.phasestats	/mnt/storage1/projects/research/SCA4_2022/pacbio/phasing/22018LRa007_T2T/22018LRa007_T2T.phasestats.tsv
WhatsHap	all_sections	22018LRa005_T2T.phasestats	/mnt/storage1/projects/research/SCA4_2022/pacbio/phasing/22018LRa005_T2T/22018LRa005_T2T.phasestats.tsv
WhatsHap	all_sections	22018LRa005_GRCh38.phasestats	/mnt/storage1/projects/research/SCA4_2022/pacbio/phasing/22018LRa005_GRCh38/22018LRa005_GRCh38.phasestats.tsv
WhatsHap	all_sections	22018LRa008_T2T.phasestats	/mnt/storage1/projects/research/SCA4_2022/pacbio/phasing/22018LRa008_T2T/22018LRa008_T2T.phasestats.tsv
